aadhaar_number,name,dob,gender,care_of,address,phone_number,photo_url
348876082454,Ikbal Bhargava,14-01-1990,M,Yug Goswami,"H.No. 52, Kant Path, Dibrugarh-396573",06520789048,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/348876082454.jpg
506188385893,Pahal Bhasin,06-08-1976,F,Samesh Chopra,"22, Lad Road, Erode 431296",+912166838565,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/506188385893.jpg
861647789960,Wahab Vyas,11-10-2003,M,Yug Borde,"H.No. 937, Murthy Chowk, Kamarhati-489417",04642694440,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/861647789960.jpg
759414684874,Ekalinga Parsa,22-09-1964,M,Onveer Barad,"98/97, Rama Chowk, Amaravati 627244",05876778719,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/759414684874.jpg
971095996036,Vasatika Sidhu,18-04-1970,F,Hitesh Menon,"16/803, Morar Chowk, Bellary-674671",4927610128,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/971095996036.jpg
307286011549,Saumya Manne,06-05-2005,F,Champak Prasad,"93/01, Sarkar Ganj, Bhagalpur-700711",1832652507,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/307286011549.jpg
274260929511,Maanav Parsa,16-01-2004,M,Jonathan Mistry,"H.No. 752, Chana Nagar, Davanagere 524068",9408564548,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/274260929511.jpg
340140063064,Lipika Mukherjee,26-11-1975,F,Aarnav Agarwal,"40, Misra, Tadepalligudem-497600",9704526752,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/340140063064.jpg
143980672627,Azaan Patil,20-06-2006,M,Warinder Iyengar,"329, Pandey Road, Hyderabad 749112",06129775698,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/143980672627.jpg
766628997779,Janaki Pant,26-04-2001,F,Vihaan Varughese,"102, Choudhury Nagar, Bihar Sharif 854438",+919353776127,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/766628997779.jpg
313964059617,Sudiksha Mani,31-05-1986,F,Zashil Saini,"74/46, Rau, Madurai-643813",+915106114452,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/313964059617.jpg
799556516401,Anjali Nagy,26-05-1983,F,Omkaar Kohli,"69, Sem Street, Surendranagar Dudhrej-026372",01020804325,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/799556516401.jpg
843046441440,Lucky Ghosh,17-03-1978,M,Ishaan Tak,"13/62, Nair Circle, Nandyal 810551",8843597943,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/843046441440.jpg
303681506015,Tejas Saini,01-03-1967,M,Kalpit Sibal,"600, Hayer Road, Pali-036325",05723566203,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/303681506015.jpg
664227329677,Omisha Dara,03-08-1969,F,Reyansh Luthra,"H.No. 612, Jhaveri Zila, Dewas-787873",+913355074291,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/664227329677.jpg
453627977816,Sai Uppal,02-08-1984,M,Indrajit Acharya,"92, Tripathi Street, Satara-057323",2005888379,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/453627977816.jpg
273788749762,Kritika Sarkar,21-04-2006,F,Amol Sarin,"23, Prashad Chowk, Kakinada 981674",0572837889,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/273788749762.jpg
425784728491,Nikita Chhabra,06-10-1972,F,Ekavir Panchal,"33/89, Barad Zila, Bhimavaram-059688",02095755467,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/425784728491.jpg
917677408548,Varsha Sodhi,04-09-1980,F,Utkarsh Sarma,"H.No. 81, Rama Zila, Gaya 362079",+918013439283,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/917677408548.jpg
630622971644,Qushi Kala,06-01-1962,F,Chatresh Mohan,"23, Ratta Nagar, Madhyamgram-148884",1417243124,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/630622971644.jpg
578653261365,Lohit Buch,02-03-1982,M,Finn Iyer,"69/050, Chaudry Ganj, Mathura-588253",+916510031961,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/578653261365.jpg
276556568222,Om Chand,24-08-2007,M,Ikbal Rai,"836, Om Chowk, Kavali 371098",02554465811,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/276556568222.jpg
233873068683,Mitali Pant,13-08-1969,F,Azad Mistry,"59/29, Mutti Ganj, Bahraich-943358",+918654379546,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/233873068683.jpg
770895982260,Xiti Hayer,28-05-1965,F,Amol Goda,"124, Som Chowk, Fatehpur-342612",04297162525,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/770895982260.jpg
425726682230,Saksham Kata,02-07-1976,M,Upkaar Varkey,"60/092, Ratta Zila, Hospet 394034",0577534831,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/425726682230.jpg
410074207889,Rushil Sodhi,26-05-1972,M,Tanay Madan,"90, Nayak Circle, Nagaon 385963",00448789704,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/410074207889.jpg
972928376197,Gaurang Bhatnagar,16-07-1975,M,Sai Sethi,"H.No. 08, Kadakia Marg, Malda-003733",+917350351777,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/972928376197.jpg
614564486847,Anamika Warrior,10-06-1981,F,Rudra Devi,"H.No. 60, Rau Circle, Thrissur-218312",01615012586,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/614564486847.jpg
790436479864,Manthan Sarma,10-12-1990,M,Jason Kuruvilla,"H.No. 72, Sekhon Street, Udaipur 499898",03275543357,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/790436479864.jpg
270791195824,Krishna Kannan,07-01-1995,M,Aadi Nagy,"H.No. 223, Mittal Street, Nagercoil 222702",07566968101,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/270791195824.jpg
722690017789,Ryan Pai,18-08-1975,M,Chaitanya Sarraf,"02/206, Jayaraman Chowk, Cuttack 054751",08103968729,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/722690017789.jpg
682840245820,Vrishti Deo,16-09-1970,F,Warjas Gandhi,"79/82, Lalla Street, Navi Mumbai 887985",8813361035,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/682840245820.jpg
682372279202,Vidhi Pandey,29-02-1968,F,Darsh Cherian,"H.No. 233, Patla, Nandyal 449238",09099275752,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/682372279202.jpg
449892971833,Keya Varty,31-05-2003,F,Dominic Sodhi,"H.No. 928, Lata Path, Yamunanagar 180540",8659745883,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/449892971833.jpg
523360143061,Zashil Agarwal,10-02-1984,M,Aadi Bobal,"045, More Nagar, Proddatur 204262",05422169781,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/523360143061.jpg
969685222734,Yash Sama,26-07-1963,M,Alexander Pant,"H.No. 45, Deol, Tirupati 948774",0762740053,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/969685222734.jpg
198354622994,Tanish Aggarwal,18-01-2004,M,Lakshit Borah,"65, Pandit, Siwan 547996",+917165563431,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/198354622994.jpg
762350953167,Jasmit Dani,16-12-1965,F,Ranveer Narayan,"H.No. 69, Madan Ganj, Varanasi-094688",09562444358,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/762350953167.jpg
575116536525,Faqid Kaul,20-09-1970,M,Kiaan Oak,"H.No. 00, Parmar Street, Rajpur Sonarpur 777566",8052519880,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/575116536525.jpg
166516967567,Pranav Swaminathan,28-03-2000,M,Qadim Dave,"12/51, Kale Chowk, Hubli–Dharwad-701870",+914141947520,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/166516967567.jpg
802446519987,Hamsini Goyal,23-04-2003,F,Aditya Karan,"35/69, Narang Nagar, Bhubaneswar-733549",6815569592,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/802446519987.jpg
198364294329,Vamakshi Viswanathan,27-01-1981,F,Gaurav Atwal,"90/62, Singh Ganj, Danapur-386935",+916720193461,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/198364294329.jpg
340976478962,Saanvi Rajagopalan,07-10-2002,F,Noah Devi,"09/428, Madan Chowk, Durgapur-736878",+917223618403,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/340976478962.jpg
564894459981,Champak Bath,21-02-2005,M,Ayaan Shah,"18, Tella Circle, Chittoor-949714",8943124948,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/564894459981.jpg
209572837777,Devika Munshi,04-10-1989,F,Advik Srinivasan,"04/87, Tripathi Marg, Pondicherry-923591",8181611502,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/209572837777.jpg
347036515202,Arin Hari,01-03-1995,M,Oliver Bhat,"420, Char Zila, Dindigul 812590",01092905330,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/347036515202.jpg
728560746005,Gaurika Zacharia,09-10-1987,F,Arin Uppal,"88/98, Bassi Street, Surat-857156",00895508777,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/728560746005.jpg
408822094132,Aarnav Kara,07-08-1970,M,Harrison Som,"36/726, Palla Path, Sagar-593274",02839432813,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/408822094132.jpg
952685795369,Abhiram Madan,27-02-1994,M,Samarth Manne,"88, Mitter Zila, Amravati 781350",04075213612,https://mock-kyc-bucket.s3.ap-south-1.amazonaws.com/photos/952685795369.jpg
